snapshot_utc,series,ticker,yes_bid,yes_ask,no_bid,no_ask,last_price,volume,open_interest
2026-07-29T04:00Z,KXHIGHNY,KXHIGHNY-26JUL29-T83,3,4,96,97,3,3075.75,2002.85
2026-07-29T04:00Z,KXHIGHNY,KXHIGHNY-26JUL29-T76,3,4,96,97,3,4083.16,3118.06
2026-07-29T04:00Z,KXHIGHNY,KXHIGHNY-26JUL29-B82.5,23,26,74,77,26,4858.30,3818.10
2026-07-29T04:00Z,KXHIGHNY,KXHIGHNY-26JUL29-B80.5,43,46,54,57,44,7202.19,5742.09
2026-07-29T04:00Z,KXHIGHNY,KXHIGHNY-26JUL29-B78.5,23,26,74,77,25,5632.89,3803.21
2026-07-29T04:00Z,KXHIGHNY,KXHIGHNY-26JUL29-B76.5,6,7,93,94,5,3170.24,2195.46
2026-07-29T04:00Z,KXHIGHNY,KXHIGHNY-26JUL28-T84,0,1,99,100,1,15172.88,11951.90
2026-07-29T04:00Z,KXHIGHNY,KXHIGHNY-26JUL28-T77,0,1,99,100,1,20871.93,15363.64
2026-07-29T04:00Z,KXHIGHNY,KXHIGHNY-26JUL28-B83.5,0,1,99,100,1,23733.68,21006.56
2026-07-29T04:00Z,KXHIGHNY,KXHIGHNY-26JUL28-B81.5,0,1,99,100,1,42957.33,25120.45
2026-07-29T04:00Z,KXHIGHNY,KXHIGHNY-26JUL28-B79.5,99,100,0,1,99,58855.26,28576.57
2026-07-29T04:00Z,KXHIGHNY,KXHIGHNY-26JUL28-B77.5,0,1,99,100,1,67339.68,40888.65
2026-07-29T04:00Z,KXHIGHTPHX,KXHIGHTPHX-26JUL29-T115,0,1,99,100,1,287.00,270.00
2026-07-29T04:00Z,KXHIGHTPHX,KXHIGHTPHX-26JUL29-T108,1,2,98,99,1,1301.58,1024.58
2026-07-29T04:00Z,KXHIGHTPHX,KXHIGHTPHX-26JUL29-B114.5,3,4,96,97,3,430.11,386.91
2026-07-29T04:00Z,KXHIGHTPHX,KXHIGHTPHX-26JUL29-B112.5,30,31,69,70,31,1502.35,1365.35
2026-07-29T04:00Z,KXHIGHTPHX,KXHIGHTPHX-26JUL29-B110.5,58,60,40,42,60,1473.93,1293.20
2026-07-29T04:00Z,KXHIGHTPHX,KXHIGHTPHX-26JUL29-B108.5,10,11,89,90,10,732.88,732.88
2026-07-29T04:00Z,KXHIGHTPHX,KXHIGHTPHX-26JUL28-T114,0,1,99,100,1,2088.30,1948.03
2026-07-29T04:00Z,KXHIGHTPHX,KXHIGHTPHX-26JUL28-T107,0,1,99,100,1,52517.82,30244.72
2026-07-29T04:00Z,KXHIGHTPHX,KXHIGHTPHX-26JUL28-B113.5,0,1,99,100,1,10228.83,9870.78
2026-07-29T04:00Z,KXHIGHTPHX,KXHIGHTPHX-26JUL28-B111.5,0,1,99,100,1,10384.48,7254.10
2026-07-29T04:00Z,KXHIGHTPHX,KXHIGHTPHX-26JUL28-B109.5,0,1,99,100,1,25386.77,15549.51
2026-07-29T04:00Z,KXHIGHTPHX,KXHIGHTPHX-26JUL28-B107.5,99,100,0,1,99,24125.08,11525.33
2026-07-29T04:00Z,KXHIGHTLV,KXHIGHTLV-26JUL29-T114,0,1,99,100,1,432.00,429.00
2026-07-29T04:00Z,KXHIGHTLV,KXHIGHTLV-26JUL29-T107,1,2,98,99,2,50.49,38.00
2026-07-29T04:00Z,KXHIGHTLV,KXHIGHTLV-26JUL29-B113.5,1,2,98,99,2,39.00,39.00
2026-07-29T04:00Z,KXHIGHTLV,KXHIGHTLV-26JUL29-B111.5,13,16,84,87,14,464.52,184.72
2026-07-29T04:00Z,KXHIGHTLV,KXHIGHTLV-26JUL29-B109.5,62,65,35,38,64,649.32,604.86
2026-07-29T04:00Z,KXHIGHTLV,KXHIGHTLV-26JUL29-B107.5,23,25,75,77,20,621.27,310.40
2026-07-29T04:00Z,KXHIGHTLV,KXHIGHTLV-26JUL28-T114,0,1,99,100,1,839.94,834.94
2026-07-29T04:00Z,KXHIGHTLV,KXHIGHTLV-26JUL28-T107,0,1,99,100,1,2312.17,2108.17
2026-07-29T04:00Z,KXHIGHTLV,KXHIGHTLV-26JUL28-B113.5,0,1,99,100,1,3298.89,2656.42
2026-07-29T04:00Z,KXHIGHTLV,KXHIGHTLV-26JUL28-B111.5,0,1,99,100,1,10161.33,5988.89
2026-07-29T04:00Z,KXHIGHTLV,KXHIGHTLV-26JUL28-B109.5,99,100,0,1,99,8026.55,5127.49
2026-07-29T04:00Z,KXHIGHTLV,KXHIGHTLV-26JUL28-B107.5,0,1,99,100,1,7152.87,5474.72
