runtime,mos_tmax_f,actual_tmax_f
2015-01-01,46.0,46.04
2015-01-02,50.0,53.96
2015-01-03,52.0,53.96
2015-01-04,62.0,64.94
2015-01-05,68.0,73.94
2015-01-06,72.0,78.98
2015-01-07,76.0,80.96
2015-01-08,71.0,71.06
2015-01-09,73.0,75.02
2015-01-10,70.0,64.94
2015-01-11,71.0,71.96
2015-01-12,68.0,66.92
2015-01-13,66.0,62.96
2015-01-14,66.0,66.92
2015-01-15,71.0,71.96
2015-01-16,73.0,73.94
2015-01-17,74.0,73.04
2015-01-18,77.0,75.02
2015-01-19,78.0,75.02
2015-01-20,77.0,75.02
2015-01-21,72.0,73.94
2015-01-22,66.0,64.94
2015-01-23,67.0,64.04
2015-01-24,75.0,77.0
2015-01-25,78.0,78.08
2015-01-26,67.0,71.06
2015-01-27,76.0,73.94
2015-01-28,76.0,75.02
2015-01-29,78.0,71.06
2015-01-30,63.0,60.08
2015-01-31,64.0,60.08
2015-02-01,70.0,69.08
2015-02-02,74.0,73.04
2015-02-03,77.0,75.92
2015-02-04,78.0,77.0
2015-02-05,82.0,82.04
2015-02-06,83.0,84.02
2015-02-07,80.0,80.96
2015-02-08,82.0,82.04
2015-02-09,86.0,82.94
2015-02-10,82.0,82.94
2015-02-11,81.0,80.96
2015-02-12,80.0,78.08
2015-02-13,81.0,80.06
2015-02-14,84.0,82.94
2015-02-15,79.0,78.98
2015-02-16,79.0,78.98
2015-02-17,77.0,77.0
2015-02-18,80.0,78.98
2015-02-19,82.0,80.06
2015-02-20,82.0,78.98
2015-02-21,80.0,78.98
2015-02-22,74.0,71.96
2015-02-23,71.0,69.98
2015-02-24,68.0,66.92
2015-02-25,73.0,71.96
2015-02-26,76.0,77.0
2015-02-27,77.0,78.08
2015-02-28,72.0,69.98
2015-03-01,73.0,77.0
2015-03-02,63.0,66.02
2015-03-03,67.0,64.94
2015-03-04,69.0,69.98
2015-03-05,75.0,75.02
2015-03-06,82.0,82.94
2015-03-07,84.0,82.94
2015-03-08,82.0,82.94
2015-03-09,84.0,84.02
2015-03-10,86.0,87.08000000000001
2015-03-11,88.0,87.08000000000001
2015-03-12,86.0,86.0
2015-03-13,87.0,87.98
2015-03-14,88.0,87.98
2015-03-15,88.0,89.06
2015-03-16,91.0,89.96000000000001
2015-03-17,88.0,91.04
2015-03-18,76.0,80.96
2015-03-19,74.0,69.98
2015-03-20,81.0,80.96
2015-03-21,86.0,84.91999999999999
2015-03-22,86.0,89.06
2015-03-23,86.0,87.98
2015-03-24,86.0,86.0
2015-03-25,88.0,87.98
2015-03-26,91.0,89.06
2015-03-27,94.0,95.0
2015-03-28,95.0,95.0
2015-03-29,96.0,96.98
2015-03-30,96.0,96.08
2015-03-31,93.0,95.0
2015-04-01,90.0,91.04
2015-04-02,86.0,87.08000000000001
2015-04-03,88.0,86.0
2015-04-04,90.0,89.06
2015-04-05,88.0,89.06
2015-04-06,85.0,86.0
2015-04-07,81.0,84.02
2015-04-08,77.0,78.08
2015-04-09,82.0,82.94
2015-04-10,86.0,87.08000000000001
2015-04-11,87.0,86.0
2015-04-12,88.0,86.0
2015-04-13,91.0,89.96000000000001
2015-04-14,92.0,93.92
2015-04-15,84.0,84.02
2015-04-16,78.0,75.02
2015-04-17,82.0,82.04
2015-04-18,89.0,89.96000000000001
2015-04-19,92.0,91.94
2015-04-20,92.0,93.02
2015-04-21,91.0,91.04
2015-04-22,86.0,89.06
2015-04-23,82.0,82.94
2015-04-24,81.0,78.08
2015-04-25,81.0,80.96
2015-04-26,80.0,75.02
2015-04-27,87.0,87.08000000000001
2015-04-28,92.0,93.02
2015-04-29,95.0,96.08
2015-04-30,100.0,98.96
2015-05-01,100.0,100.94
2015-05-02,97.0,98.06
2015-05-03,95.0,96.08
2015-05-04,85.0,84.91999999999999
2015-05-05,85.0,86.0
2015-05-06,88.0,89.96000000000001
2015-05-07,85.0,86.0
2015-05-08,74.0,75.02
2015-05-09,78.0,77.0
2015-05-10,87.0,89.06
2015-05-11,96.0,96.08
2015-05-12,92.0,91.04
2015-05-13,93.0,91.04
2015-05-14,85.0,87.08000000000001
2015-05-15,70.0,75.92
2015-05-16,77.0,75.02
2015-05-17,87.0,86.0
2015-05-18,90.0,89.96000000000001
2015-05-19,88.0,87.08000000000001
2015-05-20,93.0,93.02
2015-05-21,90.0,91.04
2015-05-22,83.0,82.04
2015-05-23,83.0,82.94
2015-05-24,88.0,84.91999999999999
2015-05-25,91.0,91.94
2015-05-26,95.0,96.08
2015-05-27,96.0,96.98
2015-05-28,98.0,98.06
2015-05-29,102.0,102.92
2015-05-30,105.0,105.08
2015-05-31,107.0,107.06
2015-06-01,106.0,105.08
2015-06-02,103.0,104.0
2015-06-03,101.0,102.02
2015-06-04,98.0,96.98
2015-06-05,96.0,89.96000000000001
2015-06-06,95.0,96.98
2015-06-07,101.0,100.04
2015-06-08,105.0,105.08
2015-06-09,97.0,95.0
2015-06-10,94.0,95.0
2015-06-11,99.0,100.04
2015-06-12,104.0,104.0
2015-06-13,104.0,105.08
2015-06-14,106.0,107.06
2015-06-15,109.0,111.92
2015-06-16,111.0,111.92
2015-06-17,113.0,114.08
2015-06-18,114.0,114.98
2015-06-19,113.0,114.08
2015-06-20,112.0,111.92
2015-06-21,109.0,109.04
2015-06-22,108.0,109.04
2015-06-23,110.0,111.02
2015-06-24,113.0,111.92
2015-06-25,112.0,109.94
2015-06-26,110.0,107.06
2015-06-27,110.0,107.96
2015-06-28,109.0,109.94
2015-06-29,109.0,109.94
2015-06-30,110.0,107.06
2015-07-01,103.0,105.98
2015-07-02,106.0,105.98
2015-07-03,108.0,100.04
2015-07-04,106.0,105.98
2015-07-05,102.0,102.02
2015-07-06,100.0,104.0
2015-07-07,105.0,107.96
2015-07-08,106.0,109.04
2015-07-09,102.0,102.02
2015-07-10,100.0,104.0
2015-07-11,103.0,105.98
2015-07-12,104.0,105.98
2015-07-13,106.0,107.96
2015-07-14,107.0,109.04
2015-07-15,106.0,105.98
2015-07-16,106.0,107.06
2015-07-17,105.0,104.0
2015-07-18,97.0,100.04
2015-07-19,97.0,96.98
2015-07-20,100.0,102.02
2015-07-21,105.0,105.98
2015-07-22,103.0,107.06
2015-07-23,104.0,105.08
2015-07-24,104.0,104.0
2015-07-25,107.0,109.04
2015-07-26,108.0,107.96
2015-07-27,107.0,105.98
2015-07-28,107.0,105.98
2015-07-29,104.0,100.04
2015-07-30,106.0,105.98
2015-07-31,108.0,109.94
2015-08-01,104.0,102.92
2015-08-02,109.0,107.96
2015-08-03,111.0,109.94
2015-08-04,111.0,111.02
2015-08-05,111.0,111.92
2015-08-06,109.0,105.98
2015-08-07,105.0,107.06
2015-08-08,102.0,102.02
2015-08-09,106.0,107.06
2015-08-10,104.0,105.08
2015-08-11,108.0,96.98
2015-08-12,109.0,107.96
2015-08-13,113.0,114.08
2015-08-14,114.0,116.96
2015-08-15,113.0,114.98
2015-08-16,112.0,111.92
2015-08-17,108.0,107.96
2015-08-18,104.0,107.06
2015-08-19,106.0,107.06
2015-08-20,106.0,107.06
2015-08-21,105.0,107.06
2015-08-22,105.0,105.08
2015-08-23,106.0,107.06
2015-08-24,108.0,107.96
2015-08-25,104.0,100.04
2015-08-26,103.0,105.98
2015-08-27,108.0,107.96
2015-08-28,109.0,109.04
2015-08-29,111.0,111.02
2015-08-30,108.0,107.96
2015-08-31,105.0,105.98
2015-09-01,103.0,98.96
2015-09-02,102.0,100.94
2015-09-03,100.0,100.04
2015-09-04,94.0,98.06
2015-09-05,97.0,95.0
2015-09-06,101.0,104.0
2015-09-07,103.0,98.06
2015-09-08,106.0,105.08
2015-09-09,102.0,96.08
2015-09-10,95.0,93.02
2015-09-11,100.0,102.02
2015-09-12,105.0,107.06
2015-09-13,105.0,102.92
2015-09-14,99.0,98.06
2015-09-15,94.0,96.98
2015-09-16,96.0,98.06
2015-09-17,98.0,98.06
2015-09-18,100.0,100.94
2015-09-19,101.0,102.92
2015-09-20,103.0,102.92
2015-09-21,94.0,91.94
2015-09-22,89.0,93.02
2015-09-23,97.0,96.98
2015-09-24,105.0,104.0
2015-09-25,103.0,102.92
2015-09-26,105.0,105.08
2015-09-27,105.0,104.0
2015-09-28,105.0,104.0
2015-09-29,104.0,102.92
2015-09-30,106.0,105.98
2015-10-01,105.0,105.98
2015-10-02,97.0,98.06
2015-10-03,96.0,95.0
2015-10-04,93.0,95.0
2015-10-05,83.0,89.06
2015-10-06,81.0,80.06
2015-10-07,85.0,82.94
2015-10-08,94.0,91.94
2015-10-09,95.0,95.0
2015-10-10,98.0,95.0
2015-10-11,97.0,98.06
2015-10-12,97.0,96.98
2015-10-13,97.0,98.06
2015-10-14,100.0,100.04
2015-10-15,99.0,96.08
2015-10-16,94.0,96.98
2015-10-17,92.0,89.06
2015-10-18,91.0,91.94
2015-10-19,88.0,86.0
2015-10-20,82.0,80.96
2015-10-21,76.0,77.0
2015-10-22,80.0,78.98
2015-10-23,85.0,84.02
2015-10-24,90.0,89.96000000000001
2015-10-25,91.0,87.98
2015-10-26,90.0,91.04
2015-10-27,89.0,89.06
2015-10-28,88.0,87.08000000000001
2015-10-29,83.0,80.96
2015-10-30,81.0,78.98
2015-10-31,82.0,82.94
2015-11-01,86.0,84.91999999999999
2015-11-02,87.0,87.98
2015-11-03,74.0,82.94
2015-11-04,69.0,69.08
2015-11-05,68.0,66.02
2015-11-06,75.0,73.94
2015-11-07,80.0,80.06
2015-11-08,82.0,82.94
2015-11-09,79.0,80.96
2015-11-10,68.0,71.06
2015-11-11,70.0,69.08
2015-11-12,77.0,77.0
2015-11-13,81.0,80.06
2015-11-14,80.0,78.08
2015-11-15,71.0,66.02
2015-11-16,64.0,60.08
2015-11-17,65.0,62.96
2015-11-18,70.0,66.02
2015-11-19,78.0,75.92
2015-11-20,80.0,78.98
2015-11-21,80.0,82.04
2015-11-22,81.0,80.06
2015-11-23,81.0,80.96
2015-11-24,79.0,78.98
2015-11-25,72.0,71.96
2015-11-26,66.0,64.04
2015-11-27,63.0,62.96
2015-11-28,65.0,62.96
2015-11-29,62.0,62.06
2015-11-30,63.0,60.98
2015-12-01,66.0,64.94
2015-12-02,71.0,71.06
2015-12-03,75.0,77.0
2015-12-04,76.0,73.04
2015-12-05,75.0,75.02
2015-12-06,77.0,78.98
2015-12-07,78.0,78.98
2015-12-08,77.0,75.02
2015-12-09,78.0,73.04
2015-12-10,78.0,78.08
2015-12-11,69.0,66.92
2015-12-12,63.0,62.06
