series,date,hour,bucket,price,model_p,edge,won,determined,source
KXHIGHNY,2026-05-24,13,60-61,0.065,0.05121485148514848,-0.01378514851485152,False,False,hourly_snapshot
KXHIGHNY,2026-05-24,14,60-61,0.075,0.024584158415841495,-0.0504158415841585,False,False,hourly_snapshot
KXHIGHNY,2026-05-24,16,60-61,0.03,0.024529702970297034,-0.005470297029702965,False,False,hourly_snapshot
KXHIGHNY,2026-05-24,17,60-61,0.04,0.020836633663366362,-0.01916336633663364,False,False,hourly_snapshot
KXHIGHNY,2026-05-24,18,60-61,0.03,0.0203811881188119,-0.0096188118811881,False,False,hourly_snapshot
KXHIGHNY,2026-05-25,13,74-75,0.14,0.00364554455445545,-0.13635445544554456,False,False,hourly_snapshot
KXHIGHNY,2026-05-25,13,72-73,0.5,0.00844653465346536,-0.49155346534653466,True,False,hourly_snapshot
KXHIGHNY,2026-05-25,14,74-75,0.20500000000000002,0.008469306930693074,-0.19653069306930693,False,False,hourly_snapshot
KXHIGHNY,2026-05-25,14,72-73,0.64,0.006956435643564356,-0.6330435643564356,True,False,hourly_snapshot
KXHIGHNY,2026-05-25,15,74-75,0.125,0.001794059405940582,-0.12320594059405941,False,False,hourly_snapshot
KXHIGHNY,2026-05-25,15,72-73,0.6,0.015494059405940647,-0.5845059405940594,True,False,hourly_snapshot
KXHIGHNY,2026-05-25,16,74-75,0.235,0.08240198019801999,-0.15259801980198,False,False,hourly_snapshot
KXHIGHNY,2026-05-25,16,72-73,0.715,0.594887128712871,-0.120112871287129,True,False,hourly_snapshot
KXHIGHNY,2026-05-25,17,76-77,0.03,0.020836633663366362,-0.009163366336633637,False,False,hourly_snapshot
KXHIGHNY,2026-05-25,17,74-75,0.2,0.22316237623762356,0.023162376237623544,False,False,hourly_snapshot
KXHIGHNY,2026-05-25,17,72-73,0.7050000000000001,0.7459445544554459,0.04094455445544587,True,False,hourly_snapshot
KXHIGHNY,2026-05-25,18,76-77,0.045,0.07086435643564372,0.02586435643564372,False,False,hourly_snapshot
KXHIGHNY,2026-05-25,18,74-75,0.295,0.5935445544554456,0.29854455445544564,False,False,hourly_snapshot
KXHIGHNY,2026-05-25,18,72-73,0.605,0.3155960396039604,-0.2894039603960396,True,False,hourly_snapshot
KXHIGHNY,2026-05-26,13,81-82,0.165,0.10369009900990107,-0.061309900990098934,False,False,hourly_snapshot
KXHIGHNY,2026-05-26,13,79-80,0.69,0.3617603960396039,-0.32823960396039603,True,False,hourly_snapshot
KXHIGHNY,2026-05-26,13,77-78,0.07500000000000001,0.49059405940594103,0.415594059405941,False,False,hourly_snapshot
KXHIGHNY,2026-05-26,14,81-82,0.16,0.09319999999999995,-0.06680000000000005,False,False,metar_6h_group
